Well_ID	Treatment	N_Source	miRNA	Pair	Dose (uM)	Time	OD_600
C3	plant_miRNA	L-Lysine	ath827	4	2	26	0.39379999
C4	N.A.	L-Lysine	N.A.	4	N.A.	26	0.097999997
C6	plant_miRNA	L-Lysine	ath827	5	2	26	0.3204
D2	plant_miRNA	L-Lysine	ath827	3	2	26	0.282200009
D3	scrambled_miRNA	L-Lysine	ath827	4	2	26	0.360599995
D5	scrambled_miRNA	L-Lysine	ath827	5	2	26	0.277999997
D6	N.A.	L-Lysine	N.A.	5	N.A.	26	0.077200003
A1	plant_miRNA	L-Lysine	ath827	1	2	27	0.35589999
A2	scrambled_miRNA	L-Lysine	ath827	1	2	27	0.355800003
A4	N.A.	L-Lysine	N.A.	2	N.A.	27	0.134599999
B1	N.A.	L-Lysine	N.A.	1	N.A.	27	0.127100006
B3	scrambled_miRNA	L-Lysine	ath827	2	2	27	0.360599995
B4	plant_miRNA	L-Lysine	ath827	2	2	27	0.409399986
C1	scrambled_miRNA	L-Lysine	ath827	3	2	27	0.349299997
C2	N.A.	L-Lysine	N.A.	3	N.A.	27	0.114299998
C3	plant_miRNA	L-Lysine	ath827	4	2	27	0.413500011
C4	N.A.	L-Lysine	N.A.	4	N.A.	27	0.110799998
C6	plant_miRNA	L-Lysine	ath827	5	2	27	0.321799994
D2	plant_miRNA	L-Lysine	ath827	3	2	27	0.289600015
D3	scrambled_miRNA	L-Lysine	ath827	4	2	27	0.352800012
D5	scrambled_miRNA	L-Lysine	ath827	5	2	27	0.292400002
D6	N.A.	L-Lysine	N.A.	5	N.A.	27	0.077
A1	plant_miRNA	L-Lysine	ath827	1	2	28	0.351799995
A2	scrambled_miRNA	L-Lysine	ath827	1	2	28	0.360399991
A4	N.A.	L-Lysine	N.A.	2	N.A.	28	0.139899999
B1	N.A.	L-Lysine	N.A.	1	N.A.	28	0.142499998
B3	scrambled_miRNA	L-Lysine	ath827	2	2	28	0.371100008
B4	plant_miRNA	L-Lysine	ath827	2	2	28	0.390399992
C1	scrambled_miRNA	L-Lysine	ath827	3	2	28	0.358099997
C2	N.A.	L-Lysine	N.A.	3	N.A.	28	0.113499999
C3	plant_miRNA	L-Lysine	ath827	4	2	28	0.408600003
C4	N.A.	L-Lysine	N.A.	4	N.A.	28	0.096900001
C6	plant_miRNA	L-Lysine	ath827	5	2	28	0.319299996
D2	plant_miRNA	L-Lysine	ath827	3	2	28	0.275999993
D3	scrambled_miRNA	L-Lysine	ath827	4	2	28	0.345899999
D5	scrambled_miRNA	L-Lysine	ath827	5	2	28	0.284299999
D6	N.A.	L-Lysine	N.A.	5	N.A.	28	0.081
